"Custom Dimension - Customer ID","Custom Dimension - Customer ID"
"Custom Dimension - Customer ID Index Number","Custom Dimension - Customer ID Index Number"
"Custom Dimension - Customer Group","Custom Dimension - Customer Group"
"Custom Dimension - Customer Group Index Number","Custom Dimension - Customer Group Index Number"
"Hit Scoped Custom Dimensions","Hit Scoped Custom Dimensions"
"Custom Dimension - Page Name","Custom Dimension - Page Name"
"Custom Dimension - Page Type","Custom Dimension - Page Type"
"Custom Dimension - Page Type Index Number","Custom Dimension - Page Type Index Number"
"Product Scoped Custom Dimensions","Product Scoped Custom Dimensions"
"Track Stock Status (instock/out of stock)","Track Stock Status (instock/out of stock)"
"Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality.","Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality."
"Track Stock Status Index Number","Track Stock Status Index Number"
"This must match the index number set in Google Analytics","This must match the index number set in Google Analytics"
"Track Reviews Count","Track Reviews Count"
"Track Reviews Count Index Number","Track Reviews Count Index Number"
"Track Reviews Score","Track Reviews Score"
"Track Reviews Score Index Number","Track Reviews Score Index Number"
"Track Sale Product","Track Sale Product"
"Magento's Sale Product Attribute value is used here <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality.","Magento's Sale Product Attribute value is used here <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality."
"Track Sale Product Number","Track Sale Product Number"
"This must match the index number set in Google Analytics <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality.","This must match the index number set in Google Analytics <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality."
"Custom Attribute as Custom Dimension / Metric","Custom Attribute as Custom Dimension / Metric"
"Track Custom Attribute 1","Track Custom Attribute 1"
"Attribute 1 Name","Attribute 1 Name"
"Attribute 1","Attribute 1"
"Track Custom Attribute 1 Type","Track Custom Attribute 1 Type"
"Track Custom Attribute 1 Index Number","Track Custom Attribute 1 Index Number"
"Track Custom Attribute 2","Track Custom Attribute 2"
"Attribute 2 Name","Attribute 2 Name"
"Attribute 2","Attribute 2"
"Track Custom Attribute 2 Type","Track Custom Attribute 2 Type"
"Track Custom Attribute 2 Index Number","Track Custom Attribute 2 Index Number"
"Track Custom Attribute 3","Track Custom Attribute 3"
"Attribute 3 Name","Attribute 3 Name"
"Attribute 3","Attribute 3"
"Track Custom Attribute 3 Type","Track Custom Attribute 3 Type"
"Track Custom Attribute 3 Index Number","Track Custom Attribute 3 Index Number"
"Track Custom Attribute 4","Track Custom Attribute 4"
"Attribute 4 Name","Attribute 4 Name"
"Attribute 4","Attribute 4"
"Track Custom Attribute 4 Type","Track Custom Attribute 4 Type"
"Track Custom Attribute 4 Index Number","Track Custom Attribute 4 Index Number"
"Track Custom Attribute 5","Track Custom Attribute 5"
"Attribute 5 Name","Attribute 5 Name"
"Attribute 5","Attribute 5"
"Track Custom Attribute 5 Type","Track Custom Attribute 5 Type"
"Track Custom Attribute 5 Index Number","Track Custom Attribute 5 Index Number"
"GTM API Configuration","GTM API Configuration"
"Account ID","Account ID"
"Container ID","Container ID"
"Universal Analytics Tracking ID","Universal Analytics Tracking ID"
"I.P Anonymization","I.P Anonymization"
"Enable Display Advertising Features","Enable Display Advertising Features"
"Google AdWords conversion tracking","Google AdWords conversion tracking"
Enable,Enable
"Google Conversion Id","Google Conversion Id"
"Google Conversion Label","Google Conversion Label"
"Google Conversion Currency Code","Google Conversion Currency Code"
"Orders with value 0.00 can be excluded from conversion tracking if you set this option to Yes <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality.","Orders with value 0.00 can be excluded from conversion tracking if you set this option to Yes <br/>
                                Only available in PRO version of this extension. <br>
                                <a style=""font-size: 14px"" target=""_blank"" href=""https://www.weltpixel.com/google-analytics-enhanced-ecommerce-tag-manager-magento-2.html"">Upgrade to Pro version</a> to enable this functionality."
"Google AdWords Remarketing","Google AdWords Remarketing"
"Conversion Code","Conversion Code"
